term,definition,category,difficulty,example,phonetic,etymology,syllables,stress
Genome,The complete set of genetic material in an organism,Genomics,beginner,The human genome contains approximately 3 billion base pairs,ˈdʒiːnəʊm,From gene + -ome (complete set),ge-nome,first
Transcriptome,The complete set of RNA transcripts produced by the genome,Transcriptomics,intermediate,RNA-seq is used to analyze the transcriptome,trænˈskrɪptəʊm,From transcript + -ome,tran-scrip-tome,second
Proteome,The entire set of proteins expressed by a genome,Proteomics,intermediate,Mass spectrometry helps identify proteins in the proteome,ˈprəʊtiːəʊm,From protein + -ome,pro-te-ome,first
Metabolome,The complete set of small-molecule metabolites,Metabolomics,advanced,The metabolome reflects the physiological state of a cell,məˈtæbələʊm,From metabolite + -ome,me-tab-o-lome,second
Metagenome,Genetic material recovered from environmental samples,Metagenomics,advanced,Shotgun sequencing is used for metagenome analysis,ˈmetəˌdʒiːnəʊm,From meta- (beyond) + genome,meta-ge-nome,first
Epigenome,The complete set of epigenetic modifications,Epigenomics,advanced,The epigenome regulates gene expression,ˌepɪˈdʒiːnəʊm,From epi- (upon) + genome,e-pi-ge-nome,third
Sequencing,The process of determining nucleotide order in DNA,Genomics,beginner,Next-generation sequencing revolutionized genomics,ˈsiːkwənsɪŋ,From sequence + -ing,se-quen-cing,first
Annotation,Identifying and labeling features in a genome,Genomics,intermediate,Genome annotation predicts gene locations,ˌænəˈteɪʃən,From Latin annotare,an-no-ta-tion,third
Expression,Process by which genetic information synthesizes proteins,Transcriptomics,beginner,Gene expression varies between cell types,ɪkˈsprɛʃən,From Latin exprimere,ex-pres-sion,second
Assembly,Reconstructing a genome from sequence reads,Genomics,intermediate,De novo assembly constructs genomes,əˈsɛmbli,From Latin assimulare,as-sem-bly,second
Alignment,Arranging sequences to identify similarity regions,Genomics,intermediate,Sequence alignment reveals evolutionary relationships,əˈlaɪnmənt,From align + -ment,a-lign-ment,second
Phylogeny,Evolutionary history and relationships among organisms,Genomics,intermediate,Phylogenetic trees visualize evolution,faɪˈlɒdʒəni,From Greek phylon + genesis,phy-lo-ge-ny,second
Contig,A contiguous DNA sequence assembled from reads,Genomics,intermediate,Assembly software generates contigs,ˈkɒntɪɡ,Contraction of contiguous,con-tig,first
Amplicon,DNA or RNA amplified through PCR,Genomics,intermediate,16S rRNA amplicon sequencing identifies bacteria,ˈæmplɪkɒn,From amplify + -on,am-pli-con,first
Coverage,Average number of reads representing a nucleotide,Genomics,intermediate,30× coverage means each base sequenced 30 times,ˈkʌvərɪdʒ,From cover + -age,cov-er-age,first
Variant,A genomic locus that differs between individuals,Genomics,intermediate,Single nucleotide variants are most common,ˈvɛəriənt,From Latin variare,var-i-ant,first
Allele,Alternative forms of a gene at the same locus,Genomics,beginner,Humans inherit one allele from each parent,əˈliːl,From Greek allos (other),al-lele,second
Genotype,The genetic makeup of an organism,Genomics,beginner,Genotyping reveals genetic variations,ˈdʒiːnətaɪp,From gene + type,ge-no-type,first
Phenotype,The observable characteristics of an organism,Genomics,beginner,Phenotype results from genotype-environment interactions,ˈfiːnətaɪp,From Greek phainein + type,phe-no-type,first
Codon,A three-nucleotide sequence encoding an amino acid,Genomics,beginner,The start codon AUG codes for methionine,ˈkəʊdɒn,From code + -on,co-don,first
Exon,A coding sequence in a gene that is expressed,Genomics,beginner,Exons are spliced together to form mature mRNA,ˈɛksɒn,From expressed region,ex-on,first
Intron,A non-coding sequence removed during RNA splicing,Genomics,beginner,Introns are transcribed but not translated,ˈɪntrɒn,From intragenic region,in-tron,first
