term,domain,definition,example,synonyms,difficulty,tags,source
Bioinformatics,Bioinformatics,Bioinformatics is the interdisciplinary field that develops and applies computational methods to analyze biological data.,Bioinformatics pipelines processed sequencing data at scale.,,Beginner,bioinformatics;computation,NCBI Bookshelf – Bioinformatics and Computational Biology; Nature Reviews Genetics
FASTQ,Bioinformatics / File Format,FASTQ is a text-based file format that stores biological sequences along with per-base quality scores.,Raw sequencing reads were provided in FASTQ format.,,Beginner,file_format;sequencing,NCBI Sequence Read Archive Documentation
BAM,Bioinformatics / File Format,BAM is the binary format for storing aligned sequencing reads in a compressed and indexed form.,Aligned reads were stored as BAM files.,SAM,Beginner,file_format;alignment,NCBI SAM/BAM Specification; EMBL-EBI Training
VCF,Bioinformatics / File Format,Variant Call Format is a standardized file format for storing genomic variants and associated annotations.,Variants were reported in VCF files.,,Beginner,file_format;variants,NCBI Variant Call Format Specification
Read Alignment,Bioinformatics,Read alignment is the process of mapping sequencing reads to a reference genome or transcriptome.,Reads were aligned using a reference genome.,mapping,Intermediate,alignment;sequencing,EMBL-EBI Training – Genomics
Variant Calling,Bioinformatics,Variant calling is the computational identification of sequence variants from aligned sequencing reads.,Variant calling identified single nucleotide variants.,,Intermediate,variants;genomics,NCBI Bookshelf – Genetics in Medicine; ACMG Resources
Normalization,Bioinformatics,Normalization refers to computational methods that adjust data to remove technical biases and enable comparison across samples.,Normalization corrected for differences in library size.,,Intermediate,statistics;data_processing,Nature Reviews Genetics
Batch Effect,Bioinformatics,"A batch effect is non-biological variation introduced during sample processing, sequencing, or analysis.",Batch effects obscured biological signals.,,Intermediate,quality_control;statistics,Nature Reviews Genetics
False Discovery Rate,Statistics,False discovery rate is the expected proportion of false positives among statistically significant results.,Results were filtered at an FDR threshold of 5%.,FDR,Intermediate,statistics;multiple_testing,Nature Reviews Genetics
Systems Biology,Systems Biology,Systems biology studies biological systems by integrating multiple components and interactions to understand emergent behavior.,Systems biology integrated transcriptomic and proteomic data.,,Intermediate,systems_biology;integration,Nature Reviews Molecular Cell Biology
Protein-Protein Interaction,Systems Biology,Protein-protein interactions describe physical associations between proteins that underlie cellular processes.,Protein-protein interactions were mapped using affinity purification.,PPI,Intermediate,systems_biology;proteomics,Nature Reviews Molecular Cell Biology
Network Analysis,Systems Biology,Network analysis applies graph theory to model biological relationships and identify key nodes or modules.,Network analysis identified hub genes.,,Intermediate,systems_biology;networks,Nature Reviews Genetics
Multi-omics Integration,Systems Biology,Multi-omics integration combines data from multiple omics layers to obtain a comprehensive view of biological systems.,Multi-omics integration revealed pathway-level dysregulation.,,Advanced,systems_biology;multiomics,Nature Reviews Genetics
