term,definition,category,difficulty,example,phonetic,etymology,syllables,stress
Genome,The complete set of genetic material in an organism,Genomics,beginner,The human genome contains approximately 3 billion base pairs,ˈdʒiːnəʊm,From gene + -ome (complete set),ge-nome,Primary stress on first
Transcriptome,The complete set of RNA transcripts produced by the genome,Transcriptomics,intermediate,RNA-seq is used to analyze the transcriptome,trænˈskrɪptəʊm,From transcript + -ome,tran-scrip-tome,Primary stress on second
Proteome,The entire set of proteins expressed by a genome or cell,Proteomics,intermediate,Mass spectrometry helps identify proteins in the proteome,ˈprəʊtiːəʊm,From protein + -ome,pro-te-ome,Primary stress on first
Metabolome,The complete set of small-molecule metabolites in a biological sample,Metabolomics,advanced,The metabolome reflects the physiological state of a cell,məˈtæbələʊm,From metabolite + -ome,me-tab-o-lome,Primary stress on second
Metagenome,Genetic material recovered directly from environmental samples,Metagenomics,advanced,Shotgun sequencing is used for metagenome analysis,ˈmetəˌdʒiːnəʊm,From meta- (beyond) + genome,meta-ge-nome,Primary stress on first
Epigenome,The complete set of epigenetic modifications in an organism,Epigenomics,advanced,The epigenome regulates gene expression without changing DNA sequence,ˌepɪˈdʒiːnəʊm,From epi- (upon) + genome,e-pi-ge-nome,Primary stress on third
Lipidome,The complete lipid profile within a cell or organism,Lipidomics,advanced,Lipidomics reveals membrane composition changes in disease,ˈlɪpɪdəʊm,From lipid + -ome,li-pid-ome,Primary stress on first
Glycome,The entire complement of glycans in an organism,Glycomics,advanced,The glycome plays crucial roles in cell recognition,ˈglaɪkəʊm,From glycan + -ome,gly-come,Primary stress on first
Sequencing,The process of determining the nucleotide order in DNA or RNA,Genomics,beginner,Next-generation sequencing revolutionized genomics research,ˈsiːkwənsɪŋ,From sequence + -ing,se-quen-cing,Primary stress on first
Annotation,The process of identifying and labeling features in a genome,Genomics,intermediate,Genome annotation predicts gene locations and functions,ˌænəˈteɪʃən,From Latin annotare (to note down),an-no-ta-tion,Primary stress on third
Expression,The process by which genetic information is used to synthesize proteins,Transcriptomics,beginner,Gene expression varies between different cell types,ɪkˈsprɛʃən,From Latin exprimere (to press out),ex-pres-sion,Primary stress on second
Assembly,The computational process of reconstructing a genome from sequence reads,Genomics,intermediate,De novo assembly constructs genomes without a reference,əˈsɛmbli,From Latin assimulare (to bring together),as-sem-bly,Primary stress on second
Alignment,Arranging DNA or protein sequences to identify similarity regions,Genomics,intermediate,Sequence alignment reveals evolutionary relationships,əˈlaɪnmənt,From align + -ment,a-lign-ment,Primary stress on second
Phylogeny,The evolutionary history and relationships among organisms,Genomics,intermediate,Phylogenetic trees visualize evolutionary relationships,faɪˈlɒdʒəni,From Greek phylon (tribe) + genesis (origin),phy-lo-ge-ny,Primary stress on second
Contig,A contiguous stretch of DNA sequence assembled from overlapping reads,Genomics,intermediate,Assembly software generates contigs from short reads,ˈkɒntɪɡ,Contraction of contiguous,con-tig,Primary stress on first
Scaffold,A larger DNA sequence formed by connecting contigs,Genomics,intermediate,Scaffolding uses paired-end reads to order contigs,ˈskæfəʊld,From Old French eschafaut,scaf-fold,Primary stress on first
Amplicon,A piece of DNA or RNA that is amplified through PCR,Genomics,intermediate,16S rRNA amplicon sequencing identifies bacteria,ˈæmplɪkɒn,From amplify + -on,am-pli-con,Primary stress on first
Barcode,A short DNA sequence used to identify samples or species,Genomics,beginner,DNA barcoding enables rapid species identification,ˈbɑːkəʊd,From bar (line) + code,bar-code,Primary stress on first
Coverage,The average number of reads representing a given nucleotide,Genomics,intermediate,30× coverage means each base is sequenced 30 times on average,ˈkʌvərɪdʒ,From cover + -age,cov-er-age,Primary stress on first
Depth,The total number of reads at a specific genomic position,Genomics,intermediate,Sequencing depth affects variant calling accuracy,dɛpθ,From Old English deop,depth,Single syllable
Variant,A genomic locus that differs between individuals,Genomics,intermediate,Single nucleotide variants are the most common type,ˈvɛəriənt,From Latin variare (to change),var-i-ant,Primary stress on first
Polymorphism,The occurrence of multiple forms of a gene in a population,Genomics,intermediate,SNPs are single nucleotide polymorphisms,ˌpɒlɪˈmɔːfɪzəm,From Greek poly (many) + morphe (form),po-ly-mor-phism,Primary stress on third
Allele,Alternative forms of a gene at the same locus,Genomics,beginner,Humans inherit one allele from each parent,əˈliːl,From Greek allos (other),al-lele,Primary stress on second
Genotype,The genetic makeup of an organism,Genomics,beginner,Genotyping reveals genetic variations in populations,ˈdʒiːnətaɪp,From gene + type,ge-no-type,Primary stress on first
Phenotype,The observable characteristics of an organism,Genomics,beginner,Phenotype results from genotype-environment interactions,ˈfiːnətaɪp,From Greek phainein (to show) + type,phe-no-type,Primary stress on first
Haplotype,A group of genes inherited together from a single parent,Genomics,intermediate,Haplotype analysis reveals population structure,ˈhæpləʊtaɪp,From haploid + type,hap-lo-type,Primary stress on first
Synteny,The preservation of gene order on chromosomes across species,Genomics,advanced,Synteny analysis identifies conserved genomic regions,ˈsɪntəni,From Greek syn (together) + tainia (band),syn-te-ny,Primary stress on first
Ortholog,Genes in different species evolved from a common ancestor,Genomics,intermediate,Orthologs typically retain similar functions,ˈɔːθəlɒɡ,From Greek orthos (correct) + logos,or-tho-log,Primary stress on first
Paralog,Genes related by duplication within a genome,Genomics,intermediate,Paralogs may evolve different functions,ˈpærəlɒɡ,From Greek para (beside) + logos,par-a-log,Primary stress on first
Homology,Similarity due to shared ancestry,Genomics,intermediate,Sequence homology indicates evolutionary relationships,həˈmɒlədʒi,From Greek homos (same) + logos,ho-mol-o-gy,Primary stress on second
Codon,A three-nucleotide sequence encoding an amino acid,Genomics,beginner,The start codon AUG codes for methionine,ˈkəʊdɒn,From code + -on,co-don,Primary stress on first
Exon,A coding sequence in a gene that is expressed,Genomics,beginner,Exons are spliced together to form mature mRNA,ˈɛksɒn,From expressed region,ex-on,Primary stress on first
Intron,A non-coding sequence removed during RNA splicing,Genomics,beginner,Introns are transcribed but not translated,ˈɪntrɒn,From intragenic region,in-tron,Primary stress on first
Operon,A cluster of genes under control of a single promoter,Genomics,intermediate,The lac operon regulates lactose metabolism in bacteria,ˈɒpərɒn,From operator + -on,op-er-on,Primary stress on first
Promoter,A DNA region where transcription is initiated,Genomics,intermediate,Promoters bind RNA polymerase to start transcription,prəˈməʊtə,From promote + -er,pro-mo-ter,Primary stress on second
Enhancer,A DNA region that increases gene transcription,Genomics,intermediate,Enhancers can act over long distances,ɪnˈhɑːnsə,From enhance + -er,en-han-cer,Primary stress on second
Silencer,A DNA region that decreases gene transcription,Genomics,intermediate,Silencers regulate tissue-specific gene expression,ˈsaɪlənsə,From silence + -er,si-len-cer,Primary stress on first
Plasmid,A small circular DNA molecule in bacteria,Genomics,beginner,Plasmids are used as vectors in genetic engineering,ˈplæzmɪd,From plasma + -id,plas-mid,Primary stress on first
Vector,A DNA molecule used to transfer genetic material,Genomics,intermediate,Bacterial vectors enable gene cloning,ˈvɛktə,From Latin vehere (to carry),vec-tor,Primary stress on first
Clone,A genetically identical copy,Genomics,beginner,Cloning produces multiple copies of a DNA fragment,kləʊn,From Greek klon (twig),clone,Single syllable
Primer,A short DNA sequence initiating replication or amplification,Genomics,beginner,PCR primers flank the target DNA region,ˈpraɪmə,From prime + -er,prim-er,Primary stress on first
Polymerase,An enzyme that synthesizes polynucleotide chains,Genomics,intermediate,DNA polymerase replicates the genome,pəˈlɪməreɪz,From polymer + -ase (enzyme),po-ly-mer-ase,Primary stress on second
Ligase,An enzyme that joins DNA fragments,Genomics,intermediate,DNA ligase seals nicks in the DNA backbone,ˈlaɪɡeɪz,From ligare (to bind) + -ase,li-gase,Primary stress on first
Nuclease,An enzyme that cleaves nucleic acids,Genomics,intermediate,Restriction endonucleases cut DNA at specific sites,ˈnjuːklɪeɪz,From nucleic acid + -ase,nu-cle-ase,Primary stress on first
Restriction,The process of cutting DNA at specific sequences,Genomics,intermediate,Restriction mapping creates a physical map of DNA,rɪˈstrɪkʃən,From restrict + -ion,re-stric-tion,Primary stress on second
Endonuclease,An enzyme that cuts within a nucleic acid strand,Genomics,intermediate,CRISPR uses Cas9 endonuclease for genome editing,ˌɛndəʊˈnjuːklɪeɪz,From endo- (within) + nuclease,en-do-nu-cle-ase,Primary stress on third
Exonuclease,An enzyme that removes nucleotides from the end of DNA,Genomics,advanced,Exonucleases have proofreading functions,ˌɛksəʊˈnjuːklɪeɪz,From exo- (outside) + nuclease,ex-o-nu-cle-ase,Primary stress on third
